Designator,MPN,Qty,Link
R3,RT0603DRD0710KL,1,https://www.digikey.com/product-detail/en/yageo/RT0603DRD0710KL/311-10KDCT-ND/1035680
T1,MMBT2222A,1,https://www.digikey.com/product-detail/en/diodes-incorporated/MMBT2222A-7-F/MMBT2222A-FDICT-ND/815723
Q1,IRLML2060TRPBF,1,https://www.digikey.com/product-detail/en/infineon-technologies/IRLML2060TRPBF/IRLML2060TRPBFCT-ND/2271917
R1,RT0603DRD0747KL,1,https://www.digikey.com/product-detail/en/yageo/RT0603DRD0747KL/311-47KDCT-ND/1035828
